epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,10921.9,1.30278,1.47018,1.56976,0.66733,0.57269,0.62914,0.39932,1.31896,1.27008,1.46236,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,11032.9,1.29923,1.46397,1.56715,0.66733,0.58504,0.63296,0.40283,1.30742,1.2662,1.45146,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,11144.7,1.29544,1.45204,1.56292,0.67274,0.58235,0.63468,0.4036,1.31731,1.25944,1.45977,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,11256.6,1.28964,1.44823,1.55987,0.69785,0.5705,0.63199,0.40289,1.3087,1.25803,1.45212,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,11367.9,1.30612,1.44317,1.56039,0.67577,0.58448,0.63236,0.40383,1.30412,1.2526,1.45138,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,11479.5,1.28068,1.42756,1.54689,0.67398,0.59362,0.635,0.40456,1.30396,1.25156,1.45204,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,11591.6,1.27969,1.43388,1.55536,0.67105,0.58446,0.63299,0.40118,1.30165,1.25729,1.4506,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,11704.1,1.27861,1.43055,1.55257,0.67547,0.58908,0.63409,0.40272,1.30458,1.24934,1.45287,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,11816.3,1.28081,1.42873,1.5454,0.68839,0.57902,0.63334,0.40397,1.29964,1.25299,1.45049,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,11927,1.27334,1.42221,1.54359,0.67268,0.58642,0.62965,0.4028,1.29964,1.25401,1.44906,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,12039.5,1.27247,1.41397,1.54743,0.68011,0.58357,0.63228,0.40255,1.29801,1.25322,1.44768,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,12151.7,1.26785,1.40982,1.53798,0.68373,0.58402,0.63123,0.40376,1.30034,1.24943,1.44875,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,12262.9,1.27568,1.40514,1.54098,0.66737,0.5956,0.63212,0.40424,1.30783,1.25084,1.45692,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,12373.2,1.41082,1.4731,1.6644,0.67989,0.58996,0.63201,0.40161,1.31195,1.25823,1.45745,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,12480.5,1.36738,1.42294,1.62776,0.67491,0.59614,0.63381,0.40159,1.31194,1.25473,1.45699,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,12588.6,1.37322,1.42246,1.63862,0.67549,0.59282,0.63442,0.40342,1.312,1.25318,1.45941,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,12695.5,1.36394,1.40927,1.63279,0.66594,0.59707,0.63296,0.40344,1.30954,1.25256,1.45831,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,12802.9,1.34993,1.39017,1.62247,0.66738,0.59868,0.63375,0.40393,1.30907,1.24967,1.45746,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,12910.1,1.35402,1.39533,1.6265,0.6753,0.59626,0.6351,0.40438,1.30857,1.24758,1.45786,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,13017.3,1.35659,1.38911,1.62857,0.68426,0.59066,0.63417,0.40387,1.30961,1.24847,1.45993,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,13124.9,1.3476,1.38162,1.61981,0.69378,0.5869,0.63549,0.40345,1.3118,1.24803,1.46209,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,13232.1,1.3393,1.38544,1.61887,0.69129,0.58727,0.63454,0.40433,1.30955,1.24749,1.46056,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,13339.4,1.34024,1.37003,1.61765,0.69283,0.58847,0.63521,0.40486,1.30892,1.24726,1.4608,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
